OBJECTID,RoadName,RoadID,SectionID,RoadIDSect,LocationBe,LocationEn,PMBeg,PMEnd,SurfaceTyp,Lanes,Length,Width,Area,PCI_Inspec,PCI_Insp_1,PCI_Curren,Functional,Quadrant,Supervisor,RoadYard,Constructi,Construc_1
531,COMSTOCK AVE,56110,1000,56110 - 1000,CHERRY AVE,BOYES BLVD,10,10.2,A,2,1056,16,16896,22,2015/05/29,18,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
159,BAINES AVE,56067,2000,56067 - 2000,VALLEJO AVE,CENTRAL AVE,20,20.14,A,2,739,22,16258,37,2015/05/27,34,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
874,GARRIC AVE,66054,1000,66054 - 1000,END,END,10,10.12,A,2,634,16,10144,29,2015/04/17,25,7 - Local,SE,1st District,SON,1968/12/30,1968/12/30,
1106,HILLSIDE AVE,66016,1000,66016 - 1000,MOUNTAIN AVE,CHESTNUT AVE,10,10.25,A,2,1320,18,23760,43,2015/05/29,40,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
21,ADOBE WAY,66029,1000,66029 - 1000,MOON MOUNTAIN WAY,END,10,10.11,A,2,581,25,14525,16,2015/05/27,12,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
724,ELDORADO DR,56134,1000,56134 - 1000,LOS BANOS DR,RAILROAD AVE,10,10.2,A,2,1056,34,35904,7,2015/05/29,2,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
313,BRAZIL ST,55048,1000,55048 - 1000,SONOMA CITY LIMITS,GEHRICKE RD,10,10.18,A,2,950,12,11400,87,2015/04/07,84,5 - Major Collector,SE,1st District,SON,1970/01/01,1970/01/01,
589,CYPRESS AVE,76012,2000,76012 - 2000,LOS GUILICOS,STATE HWY 12,20,20.2,A,2,1056,26,27456,72,2015/04/17,70,7 - Local,SE,1st District,SON,1990/01/01,1990/01/01,
685,EAST NAPA ST,55038,1064,55038 - 1064,EIGHTH ST EAST,END,10.64,11.28,A,2,3379,24,81096,54,2015/06/15,52,7 - Local,SE,1st District,SON,1973/01/01,1973/01/01,
402,CANYON RD,56144,2000,56144 - 2000,GROVE ST,END,20,20.52,A,2,2746,23,63158,29,2015/05/11,25,7 - Local,SE,1st District,SON,1962/01/01,1962/01/01,
474,CHANNING ROW,76005,1000,76005 - 1000,WARM SPRINGS RD,GRISWOLD AVE,10,10.08,A,2,422,26,10972,13,2015/04/08,8,7 - Local,SE,1st District,SON,1979/01/01,1979/01/01,
1170,JANE CT,66105,1000,66105 - 1000,THOMAS STREET,END (CUL DE SAC),10,10.04,A,2,211,36,7596,21,2015/05/29,17,7 - Local,SE,1st District,SON,1989/01/01,1989/01/01,
353,BURNDALE RD,55004,1108,55004 - 1108,PM 11.08,HERSCHEL RD,11.08,11.67,A,2,3115,27,84105,45,2015/05/11,42,7 - Local,SE,1st District,SON,1971/01/01,1971/01/01,
617,DEER PARK DR,56143,1000,56143 - 1000,GROVE ST,CANYON RD,10,10.31,A,2,1637,22,36014,32,2015/05/11,28,7 - Local,SE,1st District,SON,1962/01/01,1962/01/01,
610,DAVIS LN,57052,1103,57052 - 1103,PM MARKER,END,11.03,11.57,A,2,2851,20,57024,43,2015/04/15,40,7 - Local,SE,2nd District,COT,1984/01/01,1984/01/01,
424,CARRIGER RD,56026,1087,56026 - 1087,CRAIG AVE,CARRIGER RD,10.87,11.13,A,2,1373,19,26087,45,2015/05/27,42,7 - Local,SE,1st District,SON,1974/09/19,1974/09/19,
434,CASTRO CT,68154,1000,68154 - 1000,SANTA ROSA AVE,END,10,10.08,A,2,422,20,8440,49,2015/04/26,46,7 - Local,SE,3rd District,COT,1983/01/01,1983/01/01,
1197,KATIE LN,66036,1000,66036 - 1000,END,SOBRE VISTA RD,10,10.16,A,2,845,19,16055,3,2015/05/22,0,7 - Local,SE,1st District,SON,1967/01/01,1967/01/01,
113,ARNOLD DR,5603,1738,5603 - 1738,SONOMA CREEK BRIDGE - SOUTH ABUTMENT,SONOMA CREEK BRIDGE - NORTH ABUTMENT,17.38,17.4,C,2,140,26,3640,53,2015/02/23,49,,SE,1st District,SON,1986/01/01,1986/01/01,
1002,GROVE ST,56023,1318,56023 - 1318,CARRIGER RD,ORANGE AVE,13.18,13.5,O,2,1699,22,37378,49,2015/05/11,46,7 - Local,SE,1st District,SON,1992/10/01,1967/02/08,
1051,HATCHERY CT,57075,1000,57075 - 1000,OLD REWOOD HWY N,END,10,10.13,A,2,686,32,21952,78,2015/04/26,77,7 - Local,SE,2nd District,COT,1997/01/01,1997/01/01,
23,AGUA CALIENTE RD,66001,1000,66001 - 1000,STATE HWY 12,PARK AVE,10,10.35,A,2,1545,20,30900,28,2015/05/27,24,7 - Local,SE,1st District,SON,1974/03/17,1974/03/17,
735,ELYSIAN AVE,57044,1000,57044 - 1000,GOODWIN AVE,GOODWIN AVE,10,10.88,A,2,4646,20,92920,29,2015/04/26,25,7 - Local,SE,2nd District,COT,1984/01/01,1984/01/01,
563,CRAGMONT DR,66013,1000,66013 - 1000,END,WOODLAND AVE,10,10.05,A,2,264,20,5280,18,2015/05/29,14,7 - Local,SE,1st District,SON,1982/01/01,1982/01/01,
633,DONALD ST,56055,1000,56055 - 1000,HWY 12,END,10,10.58,A,2,3062,21,64302,20,2015/05/29,16,7 - Local,SE,1st District,SON,1967/01/01,1967/01/01,
503,CLAYTON AVE,56115,1000,56115 - 1000,CRAIG AVE,CHERRY AVE,10,10.22,A,2,1162,14,16268,30,2015/05/29,27,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1142,HYDE RD,55013,1100,55013 - 1100,HYDE-BURNDALE RD,NAPA RD,11,11.51,A,2,2693,19,51167,26,2015/05/18,22,7 - Local,SE,1st District,SON,1975/01/01,1975/01/01,
116,ARNOLD DR,5603,1836,5603 - 1836,BRIDGE AT SONOMA CREEK (WEST ABUTMENT),BRIDGE AT SONOMA CREEK (EAST ABUTMENT),18.36,18.39,C,2,158,32,5056,59,2015/02/23,56,,SE,1st District,SON,1980/01/01,1980/01/01,
975,GREEN HILL DR,77033,1000,77033 - 1000,HOLLAND DR,END,10,10.28,A,2,1600,19,30400,51,2015/05/22,48,7 - Local,SE,1st District,COT,1964/01/01,1964/01/01,
1073,HERMOSA PKWY,56192,1000,56192 - 1000,WATMAUGH RD,END,10,10.06,A,2,317,56,17752,34,2015/05/28,31,7 - Local,SE,1st District,SON,1972/01/01,1972/01/01,
76,ANZA CT,56153,1000,56153 - 1000,ANZA DR,END,10,10.03,A,2,158,58,9164,21,2015/05/27,17,7 - Local,SE,1st District,SON,1962/01/01,1962/01/01,
118,ARNOLD DR,5603,1883,5603 - 1883,GIBSON ST,HWY 12,18.83,19.3,O,2,2482,41,101762,49,2015/02/23,45,5 - Major Collector,SE,1st District,SON,2014/11/30,1973/01/01,
996,GROVE ST,56023,915,56023 - 915,END,PM 10.00,9.15,10,A,2,4488,22,98736,43,2015/05/11,40,7 - Local,SE,1st District,SON,1968/01/01,1968/01/01,
1043,HARRINGTON DR,56006,1000,56006 - 1000,LEVERONI RD,HARRINGTON DR,10,10.33,A,2,1742,17,29614,8,2015/04/07,3,7 - Local,SE,1st District,SON,1972/01/01,1972/01/01,
98,ARNOLD DR,5603,1005,5603 - 1005,HWY 116,WATMAUGH RD,10.05,10.49,O,2,2323,42,97566,87,2015/02/23,85,4 - Minor Arterial,SE,1st District,SON,1986/12/31,1986/12/31,
730,ELM CT,56226,1000,56226 - 1000,ARNOLD DR,END,10,10.07,A,2,370,30,11100,38,2015/06/10,35,7 - Local,SE,1st District,SON,1980/01/01,1980/01/01,
214,BENNETT VALLEY RD,6604,1445,6604 - 1445,GRANGE RD,SONOMA MOUNTAIN RD,14.45,15.15,A,2,3696,28,103488,49,2015/03/27,44,5 - Major Collector,SE,1st District,SON,1992/07/01,1986/11/20,
608,DAVIDSON ST,56122,1000,56122 - 1000,RAILROAD AVE,BARRETT AVE,10,10.1,A,2,528,18,9504,8,2015/05/29,3,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
356,BURNDALE RD,55060,1000,55060 - 1000,NAPA RD,WELZEL LN,10,10.12,A,2,634,32,20288,18,2015/05/11,14,7 - Local,SE,1st District,SON,1997/01/01,1997/01/01,
452,CEDAR AVE,66025,1000,66025 - 1000,LAKE ST,AGUA CALIENTE,10,10.2,A,2,1056,21,22176,20,2015/05/27,16,7 - Local,SE,1st District,SON,1967/01/01,1967/01/01,
1135,HUNTER LN EXT,68079,3000,68079 - 3000,END,HUNTER LN,30,30.41,A,2,2230,13,28990,23,2015/04/26,19,7 - Local,SE,3rd District,COT,1983/01/01,1983/01/01,
171,BARCELONA DR,56254,1000,56254 - 1000,SIESTA WAY,END,10,10.28,A,2,1478,32,47296,36,2015/05/27,33,7 - Local,SE,1st District,SON,1997/01/01,1997/01/01,
997,GROVE ST,56023,1000,56023 - 1000,PM 10.00,KENLEIGH DR,10,10.7,A,2,3696,23,85008,32,2015/05/11,28,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1098,HILL DR,66055,1000,66055 - 1000,GOBSON ST,GARRIC AVE,10,10.07,A,2,370,12,4440,22,2015/04/17,18,7 - Local,SE,1st District,SON,1969/06/25,1969/06/25,
75,ANTHONY CT,56253,1000,56253 - 1000,HAPPY LN,END,10,10.02,A,2,106,32,3392,32,2015/05/27,29,7 - Local,SE,1st District,SON,1997/01/01,1997/01/01,
696,EAST WASHINGTON ST,5707,1078,5707 - 1078,PET CITY LIMITS,ADOBE RD,10.78,11.01,O,2,1214,32,38848,25,2015/04/15,20,5 - Major Collector,SE,2nd District,COT,1978/01/01,1978/01/01,
627,DENMARK ST,55032,1028,55032 - 1028,FIFTH ST E,EIGHTH ST E,10.28,10.9,A,2,3274,19,62206,8,2015/04/07,0,6 - Minor Collector,SE,1st District,SON,1977/01/01,1977/01/01,
333,BROWN AVE,76026,1000,76026 - 1000,GREENE ST,END,10,10.12,A,2,634,34,21556,32,2015/04/09,28,7 - Local,SE,1st District,SON,1990/01/01,1990/01/01,
477,CHAUVET RD,66044,1000,66044 - 1000,ARNOLD DR,WILLIAMS RD,10,10.05,A,2,264,22,5808,40,2015/04/17,37,7 - Local,SE,1st District,SON,1979/05/09,1979/05/09,
340,BUENA VIDA CT,56150,1000,56150 - 1000,END,END,10,10.1,A,2,528,22,11616,9,2015/05/27,5,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
164,BALSAM AVE,66009,1000,66009 - 1000,HWY 12,FETTERS AVE,10,10.15,A,2,792,20,15840,96,2015/05/27,92,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
727,ELM AVE,56042,1000,56042 - 1000,ORANGE AVE,END,10,10.24,A,2,1267,20,25340,19,2015/05/29,15,7 - Local,SE,1st District,SON,1972/04/10,1972/04/10,
490,CHESTNUT AVE,66011,1000,66011 - 1000,HILLSIDE AVE,HILLCREST AVE,10,10.13,A,2,686,10,6860,26,2015/05/29,22,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
415,CARQUINEZ AVE,66052,1000,66052 - 1000,ARNOLD DR,GIBSON ST,10,10.11,A,2,581,29,16849,42,2015/04/17,39,7 - Local,SE,1st District,SON,1970/04/13,1970/04/13,
211,BENNETT RIDGE RD,66081B,2038,66081B - 2038,PM 20.38,END,20.38,20.69,A,2,1637,23,37651,36,2015/04/26,33,7 - Local,SE,1st District,SON,1971/01/01,1971/01/01,
878,GEHRICKE RD,55047,1027,55047 - 1027,LOVALL VALLEY RD,END,10.27,11.83,A,2,8237,11,90607,22,2015/05/28,18,7 - Local,SE,1st District,SON,1971/01/01,1971/01/01,
1125,HORN AVE,68075,3000,68075 - 3000,SANTA ROSA AVE,HUNTER LN,30,31,A,2,5280,17,89760,28,2015/04/26,24,7 - Local,SE,3rd District,COT,1972/11/30,1972/11/30,
83,ARBOR AVE,56052,2000,56052 - 2000,ARNOLD DR,NIKKI DR,20,20.16,A,2,845,34,28730,45,2015/05/27,42,7 - Local,SE,1st District,SON,1979/01/01,1979/01/01,
777,FETTERS AVE,66005,1013,66005 - 1013,SUNSET WAY / MIDDLEFIELD RD,HIGHLANDS BLVD,10.13,10.18,A,2,264,24,6336,27,2015/05/29,23,,SE,1st District,SON,1964/01/01,1964/01/01,
1036,HAPPY LN,56089,0990,56089 - 0990,SOUTH END,NORTH END,9.9,10.13,A,2,1214,35,42490,19,2015/05/22,15,7 - Local,SE,1st District,SON,1977/01/01,1977/01/01,
331,BROOKSIDE RD,66066,1000,66066 - 1000,END,AGUA CALIENTE RD,10,10.14,A,2,739,21,15519,90,2015/05/27,88,7 - Local,SE,1st District,SON,1963/01/01,1963/01/01,
590,CYPRESS LN,56020,1000,56020 - 1000,CYPRESS RD,END,10,10.05,A,2,160,12,1920,11,2015/05/29,7,7 - Local,SE,1st District,SON,1961/01/01,1961/01/01,
616,DECHENE AVE,56104,1000,56104 - 1000,END,NORTH SIDE AVE,10,10.35,A,2,1848,37,68376,21,2015/05/29,17,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
711,EIGHTH ST EAST,5502,1058,5502 - 1058,SCHELLVILLE RD (SOUTH END),SCHELLVILLE RD (NORTH END),10.58,11.01,A,2,2270,26,59020,65,2015/04/07,61,5 - Major Collector,SE,1st District,SON,1987/09/01,1963/11/27,
511,CLYDE AVE,76015,2000,76015 - 2000,MAPLE AVE,WARM SPRINGS RD,20,20.28,A,2,1478,26,38428,52,2015/04/08,49,7 - Local,SE,1st District,SON,1990/01/01,1990/01/01,
379,CALLE DELA LUNA,66087,1000,66087 - 1000,SERRES DR,ESTRELLA DR,10,10.19,A,2,1003,36,36108,29,2015/05/27,25,7 - Local,SE,1st District,SON,1971/01/01,1971/01/01,
111,ARNOLD DR,5603,1640,5603 - 1640,MADRONE RD,MARTIN ST,16.4,16.83,A,2,2270,36,81720,77,2015/02/23,11,5 - Major Collector,SE,1st District,SON,1970/01/01,1970/01/01,
845,FRATES RD,5701,1081,5701 - 1081,PET. CITY LIMITS,ADOBE RD,10.81,11.44,O,2,3326,39,129714,50,2015/02/23,46,4 - Minor Arterial,SE,2nd District,COT,1978/01/01,1978/01/01,
1096,HIGHLANDS BLVD,56080,1000,56080 - 1000,VALLEJO AVE,CENTRAL AVE,10,10.07,A,2,370,16,5920,25,2015/05/29,21,7 - Local,SE,1st District,SON,1960/01/01,1960/01/01,
19,ADOBE RD,5602,1582,5602 - 1582,CASA GRANDE AVE,FRATES RD,15.82,16.27,O,2,2376,39,92664,87,2015/04/15,86,5 - Major Collector,SE,2nd District,COT,2006/06/09,1973/01/01,
737,ENTERPRISE RD,66061,1000,66061 - 1000,SONOMA MOUNTAIN RD,BENNETT VALLEY RD,10,12.34,A,2,12355,16,197680,37,2015/05/11,34,7 - Local,SE,1st District,SON,1982/01/01,1982/01/01,
833,FOWLER CREEK RD,56021A,1104,56021A - 1104,END,PM 11.48,11.04,11.48,A,2,2323,20,46460,37,2015/05/22,34,7 - Local,SE,1st District,SON,1980/01/01,1980/01/01,
1044,HARRIS RD,56190,1000,56190 - 1000,END,LEVERONI RD,10,10.08,A,2,422,24,10128,73,2015/06/10,71,7 - Local,SE,1st District,SON,1959/01/01,1959/01/01,
13,ADOBE RD,5602,1084,5602 - 1084,DAVIS LN,JACOBSEN LN,10.84,11.36,O,2,2746,24,65904,92,2015/04/15,91,5 - Major Collector,SE,2nd District,COT,2011/10/24,1967/06/01,
738,ERNEST DR,56131,1000,56131 - 1000,LOMITA AVE,ROBINSON RD,10,10.16,A,2,845,24,20280,29,2015/05/29,25,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
215,BENNETT VALLEY RD,6604,1515,6604 - 1515,SONOMA MOUNTAIN RD,PONDEROSA DR,15.15,15.38,A,2,1214,40,48560,60,2015/03/27,55,5 - Major Collector,SE,1st District,SON,1968/01/01,1968/01/01,
600,DALE AVE,55001,1000,55001 - 1000,RAMAL RD,BURNDALE RD,10,10.52,A,2,2724,13,35412,26,2015/05/11,22,7 - Local,SE,1st District,SON,1984/01/01,1984/01/01,
719,EL NINO CT,56233,1000,56233 - 1000,MOLINE AVE,END,10,10.04,A,2,211,35,7385,26,2015/05/29,22,7 - Local,SE,1st District,SON,1985/01/01,1985/01/01,
690,EAST ROBLES AVE,68081,1000,68081 - 1000,END,BROOKS AVE,10,10.37,A,2,1954,20,39080,51,2015/04/26,48,7 - Local,SE,3rd District,COT,1969/01/01,1969/01/01,
172,BARDY RD,66082,1000,66082 - 1000,OLD BENNETT RIDGE RD,BENNETT RIDGE RD,10,11.35,A,2,7128,25,178200,21,2015/04/26,17,7 - Local,SE,1st District,SON,1965/01/01,1965/01/01,
512,CLYDE AVE,76016,3000,76016 - 3000,MISSION DR,RANDOLPH AVE,30,30.06,A,2,317,37,11729,70,2015/04/17,68,7 - Local,SE,1st District,SON,1990/01/01,1990/01/01,
1181,JESSIE ST,76010,1000,76010 - 1000,FREDERICA,STATE HWY 12,10,10.3,A,2,1584,25,39600,55,2015/04/08,52,7 - Local,SE,1st District,SON,1990/01/01,1990/01/01,
362,BUTTERCUP CT,56216,1000,56216 - 1000,END,VIA COLUMBARD,10,10.07,A,2,370,36,13320,30,2015/05/28,26,7 - Local,SE,1st District,SON,1985/01/01,1985/01/01,
114,ARNOLD DR,5603,1740,5603 - 1740,END BRIDGE,HILL RD,17.4,18.02,O,2,3274,39,127686,95,2015/02/23,90,5 - Major Collector,SE,1st District,SON,2012/04/06,1972/01/01,
998,GROVE ST,56023,1070,56023 - 1070,KENLEIGH DR,PM 10.95,10.7,10.95,A,2,1320,22,29040,29,2015/05/11,25,7 - Local,SE,1st District,SON,1962/01/01,1962/01/01,
1092,HIGHLAND AVE,58037,2000,58037 - 2000,KELLY LN,OLD REDWOOD HWY,20,20.68,A,2,3590,24,86160,44,2015/04/26,41,7 - Local,SE,2nd District,COT,1983/01/01,1983/01/01,
11,ADOBE RD,5602,1017,5602 - 1017,RR CROSSING,PETALUMA HILL RD,10.17,10.42,O,2,1320,24,31680,90,2015/04/15,88,5 - Major Collector,SE,2nd District,COT,2011/10/24,1971/10/18,
725,ELDORADO DR,56134,1020,56134 - 1020,RAILROAD AVE,RIVERSIDE DR,10.2,10.45,A,2,1320,34,44880,10,2015/05/29,6,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
312,BRAND LN,57059,1000,57059 - 1000,DUTCH LN,END,10,10.52,A,2,2698,17,45866,12,2015/04/07,7,7 - Local,SE,2nd District,COT,1988/01/01,1988/01/01,
566,CRANE CANYON RD,6702A,1000,6702A - 1000,PETALUMA HILL RD.,INVERNESS AVE.,10,10.53,A,2,2810,25,70250,73,2015/05/11,70,5 - Major Collector,SE,1st District,COT,1989/01/01,1989/01/01,
426,CARRIGER RD,56028,1129,56028 - 1129,CARRIGER RD,END,11.29,12.06,A,2,4086,17,69462,37,2015/05/27,34,7 - Local,SE,1st District,SON,1976/06/16,1976/06/16,
1248,LA PLACITA,66091,1000,66091 - 1000,ESTRELLA DR,END,10,10.14,A,2,739,36,26604,33,2015/05/22,30,7 - Local,SE,1st District,SON,1971/01/01,1971/01/01,
1826,PEARY AVE,55016,1000,55016 - 1000,END,BURNDALE RD,10,10.23,A,2,1214,22,26708,42,2015/05/18,39,7 - Local,SE,1st District,SON,1977/01/01,1977/01/01,
1852,PETALUMA HILL RD,5710B,1247,5710B - 1247,ROBERTS RD,E. COTATI AVE,12.47,12.97,O,2,2640,37,97680,90,2015/04/26,88,5 - Major Collector,SE,2nd District,COT,2013/09/03,1958/11/15,
1667,NORTH CASTLE RD,55045,1000,55045 - 1000,CASTLE RD,NORTH CASTLE RD,10,10.18,A,2,895,16,14320,19,2015/05/28,15,7 - Local,SE,1st District,SON,1987/01/01,1987/01/01,
2212,SONOMA MTN RD,66060,2110,66060 - 2110,LA PAZ LN,PRESSLEY RD,21.1,22.19,O,2,5755,24,138120,70,2015/03/30,69,7 - Local,SE,1st District,SON,2010/08/03,1983/01/01,
1578,MISBRO WAY,76027,1000,76027 - 1000,BROWN AVE,MISSION DR,10,10.19,A,2,1003,33,33099,41,2015/04/09,38,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1446,MANOR LN,57033,1000,57033 - 1000,ADOBE RD,BRIDGE,10,10.74,A,2,3907,23,89861,41,2015/04/26,38,7 - Local,SE,2nd District,COT,1973/11/03,1973/11/03,
2180,SKAGGS ISLAND RD,4501,1000,4501 - 1000,NAPA COUNTY LINE,ENTR NAVAL RESERVATIO,10,10.06,A,2,317,32,10144,18,2013/08/28,8,7 - Local,SE,1st District,SON,1997/01/01,1997/01/01,
1356,LOMITA AVE,56057,1034,56057 - 1034,ERNEST DR,END,10.34,10.83,A,2,2587,20,51740,80,2015/05/22,78,7 - Local,SE,1st District,SON,1970/01/01,1970/01/01,
2023,RIVERSIDE DR,56015,1073,56015 - 1073,WILLOW ST,VERANO AVE,10.73,10.9,A,2,898,24,21552,42,2015/05/31,39,7 - Local,SE,1st District,SON,1992/10/01,1966/11/07,
1204,KELLY LN,58039,1000,58039 - 1000,END,END,10,10.18,A,2,950,13,12350,46,2015/06/10,43,7 - Local,SE,2nd District,COT,1983/01/01,1983/01/01,
1773,OLD WINERY RD,55039,1000,55039 - 1000,EAST NAPA ST,END,10,10.72,A,2,3802,22,83644,67,2015/05/28,65,7 - Local,SE,1st District,SON,1973/01/01,1973/01/01,
2363,TEMELEC DR,56196,2000,56196 - 2000,END,TEMELEC DR,20,20.04,A,2,211,36,7596,28,2015/05/28,24,7 - Local,SE,1st District,SON,1975/01/01,1975/01/01,
1527,MERVIN AVE,76017,1017,76017 - 1017,KENNILWORTH AVE,WARM SPRINGS RD,10.17,10.25,A,2,250,18,4500,10,2015/04/17,5,7 - Local,SE,1st District,SON,1971/01/01,1971/01/01,
1621,MOUNTAIN VIEW AVE,68076,2000,68076 - 2000,SANTA ROSA AVE,HUNTER LN,20,21,O,2,5280,20,105600,43,2015/04/26,39,5 - Major Collector,SE,3rd District,COT,1992/06/01,1972/11/30,
1518,MELVIN AVE,56058,1000,56058 - 1000,DONALD ST,END,10,10.19,A,2,1003,24,24072,30,2015/05/29,27,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
2171,SIESTA WAY,56059,1000,56059 - 1000,HWY 12,END,10,10.35,A,2,1848,24,44352,21,2015/05/22,17,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
2209,SONOMA MTN RD,57035,1129,57035 - 1129,NARROW SECTION AT CURVE,HARD LEFT / ROAD NARROWS,11.29,13.08,A,2,9451,20,189020,5,2015/03/30,1,7 - Local,SE,2nd District,COT,1982/01/01,1982/01/01,
1426,MAFFEI RD NORTH BR,55007,1000,55007 - 1000,MAFFEI RD,END,10,10.11,A,2,581,15,8715,5,2015/05/18,0,7 - Local,SE,1st District,SON,1969/01/01,1969/01/01,
2092,SAN LUIS RD,55018,1000,55018 - 1000,HWY 12,END,10,10.27,A,2,1426,18,25668,16,2015/05/28,12,7 - Local,SE,1st District,SON,1972/01/01,1972/01/01,
1736,OLD LAKEVILLE RD 2,46002,1000,46002 - 1000,LAKEVILLE RD,LAKEVILLE RD,10,10.56,A,2,2926,15,43890,8,2015/06/10,4,7 - Local,SE,2nd District,COT,1973/09/23,1973/09/23,
2219,SOUTH ELY RD,56004,1000,56004 - 1000,BROWNS LANE,PETALUMA CITY LIMITS,10,11.06,A,2,5597,22,123134,31,2015/04/26,27,7 - Local,SE,2nd District,COT,1982/01/01,1982/01/01,
1453,MAPLEWOOD DR,66070,1000,66070 - 1000,OAKWOOD DR,MADRONE RD,10,10.16,A,2,845,36,30420,6,2015/06/10,2,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
1402,LYNCH RD,57036,2000,57036 - 2000,ADOBE RD,CATTLE GUARD #2,20,20.99,A,2,5227,19,99313,10,2015/03/30,5,7 - Local,SE,2nd District,COT,1982/01/01,1982/01/01,
2178,SKAGGS ISLAND RD,45006,1000,45006 - 1000,END,RR CROSSING,10,10.99,A,2,5227,20,104540,20,2015/06/10,16,7 - Local,SE,1st District,SON,1975/01/01,1975/01/01,
1354,LOMA VISTA DR,66068,1000,66068 - 1000,ARNOLD DR,END,10,10.3,A,2,1584,18,28512,67,2015/05/22,65,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
2025,RIVERSIDE DR,56015,1134,56015 - 1134,CRAIG AVE,BOYES BLVD,11.34,11.78,A,2,2323,24,55752,28,2015/06/10,25,7 - Local,SE,1st District,SON,1996/01/01,1996/01/01,
1307,LAWNDALE RD,76023,1101,76023 - 1101,KEISER RD,SCHULTZ RD,11.01,11.72,A,2,3749,18,67482,46,2015/05/18,43,7 - Local,SE,1st District,SON,1988/01/01,1988/01/01,
1678,NUT TREE CT,55059,1000,55059 - 1000,END,NUT TREE LN,10,10.05,A,2,264,21,5544,68,2015/05/28,66,7 - Local,SE,1st District,SON,1973/01/01,1973/01/01,
1397,LUCAS AVE,56112,1000,56112 - 1000,CHERRY AVE,BOYES BLVD,10,10.2,A,2,1056,16,16896,8,2015/05/29,3,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
2106,SANTA ROSA AVE,7802,1028,7802 - 1028,HORN AVE,TODD RD,10.28,11.07,A,2,4171,50,208550,71,2015/03/30,68,4 - Minor Arterial,SE,3rd District,COT,1991/06/30,1991/06/30,
2198,SOBRE VISTA RD,66034,1000,66034 - 1000,END,ARNOLD DR,10,11.1,A,2,5782,19,109858,20,2015/05/22,16,7 - Local,SE,1st District,SON,1967/01/01,1967/01/01,
1327,LICHAU RD,67002,1178,67002 - 1178,END IMPROVED ROAD,BRIDGE 20C-265,11.78,12.46,A,2,3590,23,82570,43,2015/03/30,40,7 - Local,SE,1st District,COT,1988/01/01,1988/01/01,
2022,RIVERSIDE DR,56015,1012,56015 - 1012,PETALUMA AVE,WILLOW ST,10.12,10.73,A,2,2904,30,87120,48,2015/05/31,43,5 - Major Collector,SE,1st District,SON,1992/10/01,1966/09/10,
1283,LAS LOMAS RD,56077,1000,56077 - 1000,CALLE DEL MONTE,CENTRAL AVE,10,10.14,A,2,739,10,7390,58,2015/05/22,56,7 - Local,SE,1st District,SON,1959/01/01,1959/01/01,
1776,OLIVE AVE,56033,1030,56033 - 1030,SOLANO AVE,ELM AVE,10.3,10.86,A,2,2957,17,50269,19,2015/05/22,15,7 - Local,SE,1st District,SON,1985/06/11,1985/06/11,
1929,RAILROAD AVE,56047,3081,56047 - 3081,EL DORADO DR,COUNTRY CLUB LN,30.81,31.11,A,2,1584,32,50688,67,2015/05/22,65,7 - Local,SE,1st District,SON,1980/01/01,1980/01/01,
1866,PINE AVE,56092,1000,56092 - 1000,NORTH SIDE AVE,GREGER ST,10,10.21,A,2,1040,18,18720,3,2015/05/22,0,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1508,MEADOWOOD LN,56198,1000,56198 - 1000,SCHOOL ST,RIVERSIDE DR,10,10.16,A,2,845,35,29575,29,2015/05/29,26,7 - Local,SE,1st District,SON,1976/01/01,1976/01/01,
1715,OCEANIC WAY,68151,1000,68151 - 1000,END,SANTA ROSA AVE,10,10.08,A,2,422,32,13504,69,2015/04/26,67,7 - Local,SE,3rd District,COT,1982/01/01,1982/01/01,
2195,SNYDER LN,68025,1249,68025 - 1249,R.P. CITY LIMIT,MOUNTAIN VIEW AVE,12.49,13,O,2,2693,28,75404,97,2015/04/26,90,5 - Major Collector,SE,3rd District,COT,2013/09/03,1984/01/01,
1383,LOS PALOS,66092,1000,66092 - 1000,LA PLACITA,END,10,10.07,A,2,397,36,14292,30,2015/05/22,26,7 - Local,SE,1st District,SON,1971/01/01,1971/01/01,
