OBJECTID,RoadName,RoadID,SectionID,RoadIDSect,LocationBe,LocationEn,PMBeg,PMEnd,SurfaceTyp,Lanes,Length,Width,Area,PCI_Inspec,PCI_Insp_1,PCI_Curren,Functional,Quadrant,Supervisor,RoadYard,Constructi,Construc_1
14,ADOBE RD,5602,1136,5602 - 1136,JACOBSEN LN,CORONA RD / HARDIN LN,11.36,12.19,O,2,4382,24,105168,92,2015/04/15,91,5 - Major Collector,SE,2nd District,COT,2011/10/24,1967/06/01,
687,EAST RAILROAD AVE,58033A,1147,58033A - 1147,OLD REDWOOD HWY N,RR CROSSING,11.47,12.2,O,2,3854,27,104058,68,2015/05/11,66,5 - Major Collector,SE,2nd District,COT,1974/01/01,1974/01/01,
664,DUNBAR RD,66056,1106,66056 - 1106,BRIDGE AT DUNBAR SCH,HWY 12,11.06,11.65,A,2,3115,22,68530,48,2015/04/17,45,7 - Local,SE,1st District,SON,1988/01/01,1988/01/01,
321,BRISTOL RD,66063,1032,66063 - 1032,SCHULTZ RD,KEISER RD,10.32,10.42,A,2,528,12,6336,40,2015/05/11,37,7 - Local,SE,1st District,SON,1977/01/01,1977/01/01,
548,CORONA RD,5708,1072,5708 - 1072,LEAVE PETALUMA (50 FT N/OF SONOMA MTN PKY ROUNDABOUT),ORMSBY LN,10.72,11.42,A,2,3696,26,96096,70,2015/10/01,68,5 - Major Collector,SE,2nd District,COT,1985/01/01,1985/01/01,
1169,JAMISON RD,67003,1000,67003 - 1000,SONOMA MNTN RD,END,10,10.42,A,2,2218,15,33270,29,2015/04/15,25,7 - Local,SE,1st District,SON,1974/01/01,1974/01/01,
107,ARNOLD DR,5603,1426,5603 - 1426,BOYES BLVD,COUNTRY CLUB DR,14.26,14.55,O,2,1531,27,41337,97,2015/02/23,90,4 - Minor Arterial,SE,1st District,SON,2013/09/03,1971/09/19,
1000,GROVE ST,56023,1120,56023 - 1120,CANYON RD,WYATT RD,11.2,12.94,A,2,9187,29,266423,35,2015/05/11,32,7 - Local,SE,1st District,SON,1968/01/01,1968/01/01,
1112,HOFF RD,76022,1000,76022 - 1000,END,HWY 12,10,10.51,A,2,2693,16,43088,28,2015/05/18,24,7 - Local,SE,1st District,SON,1991/01/01,1991/01/01,
48,ALMERIA DR,56173,1006,56173 - 1006,TEMELEC CIRCLE,ARNOLD DR,10.06,10.13,A,2,370,48,17760,28,2015/05/28,24,7 - Local,SE,1st District,SON,1970/01/01,1970/01/01,
739,ESCALON DR,56137,1000,56137 - 1000,EL DORADO DR,END,10,10.02,A,2,106,35,3710,29,2015/05/29,25,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
219,BENNETT VALLEY RD,6604,1820,6604 - 1820,ENTERPRISE RD,BRIDGE 20C-219 / YULUPA CREEK,18.2,19.3,A,2,5808,20,116160,97,2015/03/27,94,5 - Major Collector,SE,1st District,SON,2014/11/30,1979/04/10,
599,DAHLIA DR,56217,1000,56217 - 1000,VIA COLUMBARD,BUTTERCUP CT,10,10.15,A,2,792,32,25344,28,2015/05/28,24,7 - Local,SE,1st District,SON,1985/01/01,1985/01/01,
710,EIGHTH ST EAST,5502,1000,5502 - 1000,HWY 12,SCHELLVILLE RD (SOUTH END),10,10.58,A,2,3062,28,85736,45,2015/04/07,39,5 - Major Collector,SE,1st District,SON,1986/01/01,1986/01/01,
686,EAST NAPA ST,5506,1031,5506 - 1031,LEAVE CITY SONOMA,EIGHTH ST EAST,10.31,10.64,O,2,1742,25,43550,67,2015/04/07,64,4 - Minor Arterial,SE,1st District,SON,2001/06/12,1981/11/16,
425,CARRIGER RD,56027,1108,56027 - 1108,CARRIGER RD,CARRIGER RD,11.08,11.29,A,2,1109,16,17744,21,2015/05/27,17,7 - Local,SE,1st District,SON,1970/07/17,1970/07/17,
206,BELMONT CT,56157,1000,56157 - 1000,END,GROVE ST,10,10.09,A,2,475,22,10450,44,2015/04/26,41,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
484,CHERRY AVE,56107,1035,56107 - 1035,RAILROAD AVE,RIVERSIDE DR,10.35,10.55,A,2,1056,23,24288,13,2015/05/29,9,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1174,JAY CT,56245,1000,56245 - 1000,END (CUL DE SAC),BOKMAN PLACE,10,10.03,A,2,158,36,5688,75,2015/05/22,73,7 - Local,SE,1st District,SON,1988/01/01,1988/01/01,
352,BURNDALE RD,55004,1051,55004 - 1051,HWY 12,PM 11.08,10.51,11.08,A,2,3010,27,81270,38,2015/05/11,35,7 - Local,SE,1st District,SON,1971/01/01,1971/01/01,
100,ARNOLD DR,5603,1096,5603 - 1096,MISSION DR,ALMERIA DR,10.92,11.14,O,2,1162,42,48804,87,2015/02/23,85,4 - Minor Arterial,SE,1st District,SON,2002/06/04,1986/12/31,
938,GLENWOOD DR,66072,1000,66072 - 1000,MADRONE RD,MAPLEWOOD DR,10,10.21,A,2,1109,36,39924,14,2015/05/29,10,7 - Local,SE,1st District,SON,1979/01/01,1979/01/01,
1076,HERSCHEL RD,55010,996,55010 - 996,END,BURNDALE RD,9.96,10.11,A,2,792,17,13464,51,2015/06/16,49,7 - Local,SE,1st District,SON,1977/01/01,1977/01/01,
351,BURNDALE RD,55004,1000,55004 - 1000,END,HWY 12,10,10.51,A,2,2693,14,37702,31,2015/05/11,27,7 - Local,SE,1st District,SON,1970/01/01,1970/01/01,
122,ARROYO RD,56071,1000,56071 - 1000,VALLEJO AVE,PM 10.19,10,10.19,A,2,1003,20,20060,54,2015/05/27,51,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
830,FOURTH AVE,56084,1000,56084 - 1000,THOMSON AVE,VALLEJO AVE,10,10.08,A,2,422,23,9706,47,2015/05/22,44,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1097,HIGHLANDS BLVD,56080,1007,56080 - 1007,CENTRAL AVE,MOUNTAIN AVE,10.07,10.43,A,2,1901,20,38020,29,2015/05/29,25,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
47,ALMERIA DR,56173,1000,56173 - 1000,END,TEMELEC CIRCLE,10,10.06,A,2,317,32,10144,28,2015/05/28,24,7 - Local,SE,1st District,SON,1970/01/01,1970/01/01,
756,FAIRWAY CT,56249,1000,56249 - 1000,END,FAIRWAY DR,10,10.02,A,2,106,32,3392,34,2015/05/29,31,7 - Local,SE,1st District,SON,1996/12/31,1996/12/31,
